Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
CXorf49B	2.90480875598619	1.03206001642036	17.1533147810854	3.05345870307785e-59	7.82767666515603e-57	123.942474096135
KCNJ11	-2.50921607974162	7.82959794745484	-17.1505769516448	3.17156358978552e-59	8.02881322754205e-57	123.904791249231
PPP1R14C	3.84567819579018	5.09952643678161	17.1274015882571	4.37242473678101e-59	1.09321414529986e-56	123.585957813164
SLC26A9	2.86598831050228	1.8217341543514	17.0701948870131	9.64834624540603e-59	2.38290619709711e-56	122.800067800093
GMPS	0.969689722686272	10.4847224137931	17.0651976985811	1.03382185894766e-58	2.5225253358323e-56	122.731494167039
RTN4RL1	-2.33431919812897	8.55304761904762	-17.0525393661255	1.23139221960073e-58	2.96882800373263e-56	122.557845947305
CCDC125	-1.3138209355162	9.02419646962233	-17.0440983865034	1.38364192892636e-58	3.29664898171961e-56	122.442095659507
PSME4	1.00693569885286	11.2985507389163	17.0279106578919	1.73010244488074e-58	4.07419008299125e-56	122.220213327819
ADAMTS15	-3.47818112484687	7.14896387520525	-16.9958358041654	2.69277449068637e-58	6.26828379142302e-56	121.780951379013
FZD9	2.91704412518098	3.05225779967159	16.9732879267334	3.67391743959371e-58	8.45501999848317e-56	121.472465260643
LEMD1	2.96950252143891	1.66314326765189	16.9701275922815	3.83735965544275e-58	8.73193345416029e-56	121.429247659345
TTC36	-3.6008230448825	4.60444597701149	-16.9431755016952	5.56103194303297e-58	1.25135576567004e-55	121.060879066091
TRIM3	-1.47170612540374	8.71066116584565	-16.9364033404995	6.10401478572295e-58	1.35844513670836e-55	120.968377083127
YBX1	1.11281037086535	12.4163873563218	16.9057141951264	9.3077203926669e-58	2.04891253687272e-55	120.549475563194
C9orf170	1.78957063592828	1.38603735632184	16.9008034536499	9.95734890061788e-58	2.16834655844423e-55	120.482488363504
CDC123	0.853951805323533	10.1936074712644	16.8841425101863	1.25173930035844e-57	2.69683237349564e-55	120.255306899048
DEGS2	-3.50900828822808	9.0863316091954	-16.8816594357398	1.29514512341399e-57	2.76097674098737e-55	120.221460635231
DYNLRB2	-2.43415470319635	4.10420771756979	-16.8787200769699	1.34847129175643e-57	2.84471256256783e-55	120.181398839123
NUDT12	-1.59900536362624	8.63545221674877	-16.8767518338759	1.38539791122447e-57	2.8924823193936e-55	120.15457521431
IL12RB2	3.37384612094887	4.1641039408867	16.8640775741214	1.64856652078872e-57	3.40681318153196e-55	119.981894184453
IFRD1	1.2612098385121	9.13569761904762	16.8510866571481	1.97010486653333e-57	4.00402886411175e-55	119.804982283786
AMY1A	3.30876457734714	2.62561239737274	16.850828072409	1.97710293507394e-57	4.00402886411175e-55	119.801461703115
MAPT	-3.45786024501615	10.075439819376	-16.8463649467616	2.10187083603891e-57	4.21456318529306e-55	119.740702400071
RLBP1	2.02354828154583	0.613027832512315	16.8338794419237	2.494197996176e-57	4.95220566848591e-55	119.570782509149
CIRBP	-1.16308200245018	12.2140522988506	-16.8296843215102	2.64177864749168e-57	5.19430108436909e-55	119.513707102676
CHODL	3.08381484797862	3.45826666666667	16.8241837662612	2.84855669719724e-57	5.54701636842677e-55	119.438884392977
WFS1	-1.26464353936965	10.734047865353	-16.8232575124276	2.88493115331039e-57	5.5643453063659e-55	119.4262862827
CCNE1	2.36279983294353	6.16769827586207	16.7965470628837	4.15876293109742e-57	7.94559121514951e-55	119.063179137499
AR	-3.64623233990421	8.11204277504105	-16.7534597929741	7.49628730085268e-57	1.41883000389597e-54	118.478199357979
RBM17	0.736660886512976	10.5521334154351	16.7495257634818	7.91022757220575e-57	1.48331415548436e-54	118.424835170398
OPRK1	2.851584401381	1.53261518883415	16.7445904357002	8.46190586758174e-57	1.5615395075214e-54	118.357899663685
FAM136A	0.843749384118507	9.65660886699507	16.7444202485516	8.48159914217626e-57	1.5615395075214e-54	118.355591715759
DEK	1.08990593607307	11.282558456486	16.733756000004	9.81127808827918e-57	1.79007210670117e-54	118.211000540403
DALRD3	-1.0589065218844	9.61073440065682	-16.7206622677164	1.17313544854355e-56	2.12128027713428e-54	118.033547902847
EN1	3.26616443256488	5.60391543513957	16.709210823826	1.37152590789704e-56	2.45806572448946e-54	117.878423520513
LRRC8D	0.989364147455158	9.60995188834154	16.652937116058	2.95281416167588e-56	5.24564845633859e-54	117.117091531162
DSC2	2.31383633812228	9.96939441707718	16.6037593475476	5.76370168421268e-56	1.01501292616239e-53	116.453081090159
INPP4B	-2.3604242744181	8.65688801313629	-16.5844521889683	7.49189313004488e-56	1.29771897705622e-53	116.192728720146
